,adview,views,likes,dislikes,comment,published,duration,category
132,2,52837,989,15,53,230,416,3
133,1,113011,158,37,24,134,121,3
134,68944,187968,2972,185,564,1595,340,3
135,3,318644,592,118,76,837,691,2
136,4,2704332,3772,192,316,1393,458,6
137,1,5934,27,0,8,68,545,3
138,1,54161,219,6,11,838,309,6
139,3801,11097,58,3,7,1712,227,6
140,1,269247,8142,134,744,1729,2261,0
141,2,66892,232,8,125,1481,566,6
142,20,144107,450,11,36,407,692,1
143,1,8413,70,3,1,1905,61,4
144,1,2721169,15452,401,564,77,254,6
145,1,61779,194,7,33,1574,751,3
146,2633,3698,8,1,0,114,195,5
147,1,1717192,6180,176,481,1314,157,6
148,1,817940,3692,74,263,214,345,6
149,1,427942,1244,47,114,88,217,3
150,2,11304,56,3,8,864,697,3
151,12,569363,3253,398,923,1573,117,3
152,7,755505,1869,515,214,1200,2097,6
153,2,166099,189,54,20,1706,9059,3
154,4853,6423,7,2,0,1728,129,3
155,8,127347,0,0,4,2139,3259,6
156,1,413720,2381,65,489,761,319,3
157,1,1350,1,0,0,195,6,4
158,6,292248,901,42,66,715,179,4
159,27,3475658,3593,1168,210,977,3707,4
160,2,487233,2645,439,835,746,173,5
161,8,162216,1005,25,37,1556,169,3
162,2,2257,2,0,0,1095,499,3
163,3,849510,8176,1230,2190,478,119,3
164,1,44545,62,17,15,1010,701,3
165,2,236444,1037,92,61,1222,2747,6
166,1,146078,510,31,29,474,3290,2
167,1,68763,75,29,1,369,1715,3
168,2,2353030,26642,276,4564,1215,582,1
169,1,797173,739,379,67,1712,90,7
170,1,539,0,0,0,96,122,3
171,7,37147,234,9,4,608,149,4
172,238,1760531,2220,401,151,1645,258,3
173,1,150554,304,39,47,57,264,3
174,4,11678,25,0,1,136,600,6
175,3,437404,1081,79,42,1272,1845,3
176,7,368,0,1,0,1059,21,3
177,1,343728,488,75,74,1148,6757,4
178,1,11226,34,3,0,208,165,4
179,2,60994,78,16,12,86,78,3
180,1,4834,0,0,0,1385,8618,3
181,21614,36728,768,6,14,1898,176,3
182,7,650504,1667,94,43,2272,372,3
183,3,770809,582,227,69,1486,637,3
184,2,35171,383,5,60,439,366,6
185,5,835520,7128,367,1194,924,3230,4
186,1,215305,238,53,74,546,252,4
187,6,1107051,1421,134,47,232,46,3
188,1,881444,0,0,37,827,415,7
189,1,92,1,0,0,261,280,3
190,22,132515,442,49,146,1961,441,3
191,1,2631,14,1,3,81,806,6
192,8,460207,826,94,24,486,276,3
193,1,66676,277,10,18,587,1050,2
194,2210,2551,0,0,2,357,76,1
195,191,791067,7285,378,799,2132,413,1
196,1,25886,88,5,6,399,362,3
197,1,366630,260,142,13,851,114,4
198,1,1138910,2919,817,628,1044,69,3
199,1,1517387,4557,237,407,1943,170,4
200,9,113411,195,24,34,1638,1175,6
201,3,49113,587,15,131,2075,180,3
202,4,929267,349,104,24,801,8582,4
203,1,161673,241,12,145,142,184,3
204,1,40771,481,13,59,156,160,0
205,2,95077,249,16,86,1922,824,3
206,1,1188997,2323,244,1278,2247,594,7
207,1,544614,9149,52,474,1917,179,5
208,2,555270,971,61,162,1160,625,0
209,1,127370,106,170,57,769,341,6
210,3,769740,1125,301,52,949,9188,3
211,1,320097,401,87,26,2228,124,4
212,471,1017837,47134,286,1785,1383,654,1
213,1,259096,722,58,47,859,311,6
214,1,37708,112,3,5,2078,96,3
215,11,2287062,2088,545,111,2094,5266,4
216,22,1245266,821,340,0,1327,85,3
217,1,578,0,1,0,1265,417,3
218,12,3383658,20552,1347,4722,2295,582,1
219,1,122309,485,24,44,643,476,0
220,5,165692,93,10,8,625,16,3
221,1,35552,103,12,17,490,994,3
222,4,210091,5475,222,642,1480,504,5
223,1,80852,487,15,67,394,177,3
224,1,182838,1271,33,101,2313,1381,2
225,1,174770,47,29,2,1895,63,3
226,2,61745,360,13,33,1644,170,6
227,9,173389,190,14,21,856,92,3
228,4,213274,1456,117,161,1255,631,3
229,8,6437,8,2,1,1383,221,3
230,2,451634,4494,452,330,1193,273,3
231,8,451701,736,113,54,1402,4508,3
232,1,6370,0,0,0,1967,201,3
233,16,64627,111,5,7,1438,162,1
234,92782,994350,10883,269,1625,1729,372,1
235,913,73858,1397,16,117,2224,896,3
236,1,475,4,1,0,1239,469,4
237,1,201567,1820,33,58,431,790,3
238,1,7359,25,4,1,1402,961,6
239,1,4918,4,1,0,1917,31,3
240,12,2924037,15147,919,1118,1931,3296,3
241,2,1161919,685,230,59,1242,875,3
242,1,78137,1440,38,300,2383,148,6
243,4,4159,10,0,2,308,120,3
244,1,300603,936,117,836,1700,677,4
245,2,2842181,7122,596,187,1679,226,6
246,1,15242,31,17,2,619,53,6
247,1,115598,90,39,0,1687,119,3
248,2,72040,152,17,17,2115,6198,4
249,7,3502308,7062,716,219,435,57,3
250,1,51841,183,8,24,1677,1297,3
251,1,522447,14577,449,1243,1561,1752,0
252,8,21650,37,4,3,1811,152,4
253,11,197430,482,29,31,1438,688,1
254,18,522846,2606,28,632,1885,155,6
255,3,6711,31,1,6,1720,342,6
256,2,314985,1668,206,1099,1162,667,1
257,11,231201,386,50,0,1571,519,1
258,42,201460,340,26,34,1534,226,3
259,2,2739797,8869,284,875,1153,2516,6
260,1,658,3,1,1,377,712,4
261,4,10911,35,6,3,244,675,6
262,1,111503,0,0,19,720,1532,7
263,2,1227231,7101,4607,1901,1072,316,3
264,8,1663486,3908,532,235,2247,275,7
265,2,646333,1418,92,38,516,277,3
266,1,220033,1025,189,575,1794,273,1
267,4,511438,5855,529,314,129,267,3
268,1,243009,821,7,85,1877,292,6
269,1,433724,701,45,10,1883,603,3
270,1,399467,1048,180,145,986,8523,3
271,1,72049,1859,31,671,696,507,0
272,6,261614,121,78,19,2172,2377,3
273,2,35862,50,2,2,2151,1022,3
274,4,1114667,525,305,23,1143,153,3
275,14,560652,1016,196,95,1657,1360,3
276,16,4417750,21212,6067,1527,44,302,6
277,2,80668,631,25,76,1368,275,2
278,1,4852,43,0,33,1194,1077,4
279,1687,171448,149,4,44,2170,1164,3
280,7,632,4,0,0,1504,21,3
281,10,1341876,2191,105,206,456,202,6
282,4,6650767,61792,740,4780,2223,345,1
283,1,46944,152,27,23,68,5468,6
284,3,16230,749,40,195,1675,428,3
285,6,43861,231,5,25,307,240,2
286,5,425953,6513,206,1312,1875,409,5
287,1,209081,124,39,6,2014,7179,3
288,1,3787,132,9,45,1953,154,1
289,1,715738,4569,138,556,560,214,1
290,1,1041,2,1,1,2344,61,3
291,11,1185443,13544,3457,3561,1084,448,3
292,25,787026,1873,308,171,1656,1180,6
293,1,491738,817,115,76,2061,9004,3
294,3,87604,125,11,5,79,483,3
295,25,143266,320,21,66,981,161,0
296,17,2718145,31101,645,5071,885,446,1
297,1,73427,1806,7,336,1480,819,4
298,2,30259,454,32,274,511,261,3
299,2,39803,220,5,8,1589,996,6
300,7,142533,452,19,27,1215,730,3
301,4,223879,254,25,15,144,547,3
302,2,35810,673,5,38,25,651,5
303,5,1895040,6084,644,172,2102,246,3
304,1,656479,4473,502,865,40,182,1
305,1,359093,1431,48,268,1404,401,0
306,1,312793,1470,83,572,1465,244,4
307,5,4419311,3204,1322,185,2021,223,7
308,1,19212,104,4,8,2191,195,1
309,2,1381,32,2,3,1439,204,6
310,8,138050,443,63,39,905,4629,6
311,1,80088,105,5,29,635,542,3
312,3,99819,43,13,5,1863,155,3
313,7,627292,2329,230,229,820,505,4
314,2929,4139,65,0,26,2356,254,3
315,14,899472,7864,122,1337,86,166,4
316,1,217276,503,88,121,733,903,7
317,16,3949469,25566,1358,4255,1533,369,6
318,1,8846,137,3,7,1491,99,2
319,1,563,4,0,4,1578,555,6
320,19,303874,135,43,9,2244,983,6
321,3,283387,224,27,3,2014,1821,4
322,11,51384,132,6,12,1367,844,1
323,8,2462561,1771,664,90,2165,193,2
324,1,15930,7,4,0,480,913,4
325,1,3096,69,1,5,1742,415,3
326,1,21341,422,6,86,407,431,6
327,3,371314,2765,198,660,441,217,3
328,1,14161,181,2,6,1567,228,3
329,1,42318,113,6,10,1510,213,3
330,1,38210,43,5,0,927,116,3
331,4,1430600,13867,347,741,1961,587,3
332,1,64466,161,13,23,441,7799,4
333,3,63015,363,15,42,1561,83,4
334,1,455101,2260,77,451,851,510,0
335,1,129869,787,49,12,503,331,6
336,1,43032,79,3,48,229,228,0
337,7,1020381,3007,769,2672,754,671,3
338,1,8682,26,2,2,1496,356,5
339,2,2708891,127170,2398,852,1586,224,3
340,1,52198,175,9,4,259,289,3
341,1,45163,249,557,901,1784,864,3
342,1,23062,83,6,5,362,98,2
343,19,4033136,14200,307,1390,115,246,6
344,2,966367,2077,422,644,921,762,7
345,35043,55288,33,1,0,1065,22,4
346,2,438785,1318,146,46,1411,159,3
347,9,1131602,2170,265,516,696,2371,3
348,6,950944,5214,925,7084,141,629,3
349,2620,54590,67,14,11,1440,789,4
350,1,1136517,1439,176,201,2116,35,4
351,5408,7315,28,6,3,1833,16,4
352,1,812825,2793,154,319,2055,337,3
353,1,45518,142,17,18,1942,889,3
354,1,697859,2924,241,180,990,335,5
355,1,96884,29,16,1,2367,660,3
356,2,379724,385,147,18,1706,143,7
357,5,45331,136,6,16,751,151,2
358,2408,5772,76,0,10,645,308,6
359,1,114537,472,39,118,2364,203,7
360,8,107491,676,8,37,2191,367,1
361,1,1039,6,0,4,463,299,2
362,2,272078,530,30,26,496,287,3
363,2,726,10,0,0,1713,45,3
364,26,616379,3164,49,651,1885,203,6
365,9,109068,132,18,20,1477,571,5
366,26,1734941,9246,850,541,1935,112,3
367,1,566940,548,130,77,1300,274,3
368,1,908536,753,234,104,1916,382,3
369,1,726331,587,50,213,2268,428,1
370,2787,3482,41,0,7,2219,234,3
371,1,1016669,14249,78,881,1052,120,6
372,2,174656,988,116,446,615,171,3
373,167,271123,660,75,330,949,726,3
374,66,251876,324,45,28,849,1483,3
375,1,855,0,2,1,1988,75,3
376,5,852691,1525,242,243,1936,325,6
377,2,51411,354,30,119,615,212,5
378,224,5453525,4143,1860,552,1003,602,3
379,138,7247213,65467,1766,4562,1983,620,3
380,1,262109,3056,95,159,1538,414,1
381,1,7264,24,0,5,97,600,6
382,1,177414,114,28,2,1325,537,2
383,2,115393,459,17,12,1002,121,2
384,4,191786,112,24,3,313,98,3
385,71,279282,657,46,56,1941,647,3
386,1,180404,53,44,1,752,27,7
387,1,1916,6,0,1,2301,21,4
388,2877,5075,26,2,1,1498,137,6
389,2,246120,379,38,0,1361,251,3
390,1,356,1,0,0,1841,299,3
391,1,336595,815,52,33,2234,77,3
392,1087,11294,83,4,8,437,3282,6
393,1,846245,4090,148,876,1509,210,3
394,1,1611655,5812,348,651,556,1056,1
395,2,76430,74,20,6,2371,73,3
396,1,658019,4778,396,313,489,815,4
397,3,29417,80,5,178,1503,701,4
398,1,34962,1241,6,95,1985,264,3
399,16,427297,854,61,73,1958,257,3
400,1,466663,749,46,117,1744,313,3
401,2,252108,208,94,5,733,955,3
402,6,222739,2425,137,2076,1989,662,3
403,20,539381,1682,214,232,335,3029,6
404,1,57014,181,5,7,232,269,3
405,2,412791,471,89,11,1530,38,3
406,1,93132,146,12,10,1108,595,3
407,5684,139842,1662,53,265,13,336,5
408,1,393228,2040,112,70,1405,48,3
409,11,1737011,1003,276,43,2251,232,6
410,1,332533,515,47,99,1996,169,4
411,2,105699,198,14,20,1519,401,3
412,31,15014236,18520,3770,1794,139,3640,3
413,2,96697,1623,18,44,121,210,6
414,1,116320,1114,60,100,1718,327,4
415,9,461810,449,73,13,1299,3768,3
416,1,29392,26,3,0,1331,340,6
417,4,493046,120,91,11,1490,738,3
418,2,2544057,20707,1663,9253,1825,1107,5
419,3,779007,2804,235,178,1369,205,3
420,1,1079692,11261,451,975,1410,440,3
421,8,276336,5635,51,740,184,446,1
422,5,197169,238,46,46,1853,118,0
423,1,85982,1231,157,333,1385,702,3
424,10,347821,3127,98,475,183,8,1
425,1,292291,390,78,19,1160,3720,3
426,186,3982304,18428,411,5411,119,203,4
427,6,880625,1500,167,47,281,193,3
428,1,46609,84,11,1,1817,1534,7
429,2,36605,667,35,102,1035,984,5
430,3,656624,853,416,94,2027,8407,4
431,1,18144,31,4,3,2302,640,4
432,1,54418,401,21,26,2092,247,6
433,1,149,1,0,0,1991,31,3
434,1,23354,28,4,0,1557,1337,3
435,1,983777,1091,509,162,813,4752,3
436,3,295391,384,65,41,280,184,3
437,1,52504,32,5,0,2012,169,3
438,1,885,0,0,0,261,1394,4
439,1,535,8,0,1,288,197,6
440,3,153218,46,39,0,2192,933,4
441,48,59598,125,7,5,439,343,6
442,4,1929022,21541,2238,0,1083,210,5
443,1,270802,1027,111,112,1209,320,3
444,3,989705,13734,993,1447,354,437,4
445,1,7422,49,5,4,1423,1113,4
446,1,77147,348,87,189,1162,3449,2
447,1,49658,20,7,1,561,47,3
448,2,269256,366,66,11,1299,1065,3
449,1,65006,642,20,24,1162,72,3
450,1,60898,161,8,9,31,1243,3
451,1,7274,29,7,10,1909,60,3
452,4642,12346,17,1,0,103,392,3
453,1,675863,3208,439,1210,2083,194,5
454,1,874,2,2,0,1848,91,3
455,23,268833,491,28,60,1421,126,3
456,2,5377,13,3,2,2093,2125,5
457,1,514763,1011,100,119,1769,966,1
458,11,299429,567,75,74,269,2322,3
459,2,3464,5,1,0,1930,111,3
460,1,134606,182,18,13,1303,622,3
461,2,133875,1029,23,164,1406,225,3
462,5,697712,13022,246,1251,454,1815,7
463,3,177977,269,57,24,1645,1577,3
464,4,43365,80,6,15,1630,667,4
465,1,33976,34,19,0,2066,136,6
466,1,158,20,1,32,1594,674,5
467,1,867685,263,252,24,1672,83,3
468,2,37811,549,7,21,200,245,4
469,1,250701,1097,212,458,1357,459,3
470,2,2397044,58311,6017,6144,1863,352,5
471,1,611242,1575,185,160,1376,3900,7
472,6,53465,47,11,6,611,179,0
473,1,303980,1273,69,162,2240,283,3
474,1,34267,70,2,5,1004,540,3
475,1,17792,114,3,25,2093,1590,0
476,1,205268,197,7,5,2364,173,3
477,1,6144,18,2,2,2335,101,3
478,1,763778,594,177,114,2175,215,3
479,26,1434549,2886,690,255,696,622,3
480,1,11167,6,0,1,116,106,3
481,2,1046440,1121,534,39,541,85,6
482,722,2190,7,2,0,358,361,3
483,2,471095,2446,113,1180,1783,287,4
484,963,1242,3,0,0,1457,307,3
485,8,183472,588,22,32,952,665,3
486,1,863852,1605,216,148,39,183,4
487,13,156211,454,15,32,1416,1326,3
488,4,145843,137,46,6,247,1270,2
489,3,1119574,4226,219,338,1071,125,3
490,1,203019,7859,159,197,1162,632,3
491,1,253295,1473,263,0,569,110,3
492,1,22265,155,6,12,448,626,4
493,18,1468281,1953,885,0,2314,1003,3
494,2,900469,1324,96,95,428,220,6
495,1,7755,29,22,16,1563,331,3
496,5,8069,23,2,1,2098,139,2
497,1,3509,0,0,0,849,103,3
498,1,325065,617,80,28,1991,980,3
499,1,32205,20,4,4,1676,81,3
500,1,260949,510,137,22,1943,199,4
501,11,295599,1054,36,90,182,703,3
502,11,4354,10,0,1,936,619,3
503,2,731282,2630,328,149,425,380,7
504,1,35832,67,10,1,2366,1466,6
505,2,690121,720,128,21,1010,95,7
506,9,846929,649,310,56,465,2233,3
507,1,705638,1541,166,127,196,606,3
508,1,845320,4396,219,202,273,110,3
509,2,2899,17,0,1,2358,361,3
510,3,165294,1057,114,210,2021,443,5
511,3,70830,165,7,6,261,304,6
512,2,22353,23,9,1,176,2925,2
513,1,589852,709,77,108,371,635,7
514,5,498909,1404,102,50,366,388,3
515,5,1418331,4156,265,216,1574,619,4
516,19,1224550,600,195,56,2095,238,6
517,1,715951,2947,106,123,1638,196,6
518,1,4746,12,3,0,499,611,3
519,35,6918395,39430,1743,3940,1491,219,3
520,1,43500,407,24,93,334,259,6
521,1,13134,32,0,1,1788,310,3
522,1,186889,375,14,10,675,171,3
523,1,320,1,0,0,2086,31,3
524,3,110823,349,50,18,502,30,3
525,3,7200,135,11,39,2257,291,1
526,1,51534,66,8,5,963,8883,3
527,6,688600,2492,579,1781,97,676,3
528,1,7520,463,4,38,1585,107,1
529,5682,9029,27,2,0,96,102,0
530,1,223,1,0,0,1173,87,3
531,1,163066,828,111,57,44,3688,6
532,5,274,8,0,4,1098,660,3
533,32248,38580,52,8,1,1332,126,3
534,8,1764825,10506,336,1145,1844,2285,3
535,1,98702,260,14,23,2026,624,3
536,3,74087,562,35,31,2089,441,2
537,1,28484,41,21,32,697,610,2
538,1,191275,373,19,4,1628,94,3
539,3,307992,246,54,19,772,8878,3
540,1622,973378,1228,351,135,1274,170,3
541,1,2828832,43270,3379,3158,764,393,5
542,2,196595,504,34,13,1529,386,6
543,33,1322913,11917,423,1536,71,275,5
544,27,238667,4669,83,3185,1675,303,1
545,40,1356695,2299,275,106,680,631,3
546,1,155267,4882,30,345,377,384,2
547,1,145761,468,134,464,1402,439,3
548,1,698,14,0,0,402,1801,3
549,1,109851,746,69,587,2096,440,1
550,1,109244,1202,21,221,1654,984,4
551,1,208880,681,23,16,50,574,3
552,1,51207,22,2,9,2103,270,3
553,1,11866,43,3,5,1804,953,7
554,3,766532,2598,345,152,523,137,4
555,1,1734324,4639,362,230,2156,431,4
556,1,194432,8829,96,655,930,172,3
557,1,154563,941,29,37,178,71,3
558,1,594050,3945,454,2885,1756,653,3
559,9,217427,230,78,28,1965,1679,3
560,6,3939971,10556,1053,1194,2101,164,2
561,6,382394,128,112,5,1780,176,3
562,1,523776,5714,520,1873,371,304,5
563,3,7886,140,2,23,1908,385,5
564,6,2296789,928,567,33,300,127,3
565,2,28872,70,4,9,1921,2487,3
566,1,55247,348,11,9,1944,808,2
567,1,18066,261,4,28,24,537,5
568,1,1113120,4142,368,441,1209,99,2
569,38,118439,858,38,59,1794,158,4
570,1,984243,1184,205,57,490,624,3
571,11,35003,293,17,23,1136,227,5
572,1,897135,4835,473,689,1639,195,3
573,1,62560,8295,54,4917,1567,220,3
574,1,3908,21,0,5,139,201,3
575,2,87301,721,23,173,1165,446,0
576,7,83361,145,34,15,1921,10583,6
577,4336,356617,4799,78,886,518,241,1
578,3,448323,1796,107,116,1558,371,6
579,2,471104,3233,69,174,437,156,6
580,1,2276106,0,0,2,906,89,3
581,1,129112,477,21,15,467,51,7
582,1,31034,624,7,201,2304,460,4
583,1,37658,15,3,3,1771,185,0
584,1,486310,1581,106,203,1664,543,2
585,10,2234219,5156,661,1463,2187,149,7
586,11169,17645,57,6,3,103,812,3
587,524,1589,2,5,5,1348,133,3
588,915,3266806,1279,718,170,1117,101,3
589,1,521502,1396,173,37,1555,1270,6
590,324,222781,522,32,24,1299,77,3
591,1,101835,658,10,34,1159,77,1
592,2,170319,137,53,21,939,2566,3
593,1,466,3,0,0,650,167,3
594,1,117138,113,28,6,2364,7650,4
595,1,193686,1020,22,13,2378,109,2
596,12,99232,1126,26,178,2116,211,3
597,2,121255,69,39,0,365,1849,3
598,1,1046,3,1,0,1719,761,3
599,1,49694,76,22,6,689,3537,3
600,2,100111,272,11,19,670,1307,3
601,1,6823,24,1,3,2328,546,3
602,1,469954,10035,313,8673,2343,371,3
603,2,459371,2721,45,86,1306,90,2
604,4,1192302,805,239,272,18,497,4
605,6,85922,336,12,182,2023,814,3
606,3,22960,59,2,5,281,8803,3
607,2,977617,13677,933,1021,1898,1476,7
608,1,29615,23,8,4,380,835,3
609,1,16019,506,17,348,2250,1232,3
610,1,93782,236,32,461,1762,845,3
611,1,2795,12,1,1,1848,154,3
612,1,33377,80,6,10,1419,288,3
613,3,198886,303,78,25,1679,8898,3
614,3,726395,906,64,16,726,452,3
615,1,21506,47,9,6,261,130,3
616,1,21589,118,1,2,1677,219,3
617,6,958508,3184,205,736,2010,2908,6
618,3,733363,5737,173,304,2281,229,6
619,1,988463,747,348,174,1333,4156,3
620,2,3007988,0,0,168,1240,230,3
621,104,642393,896,85,26,938,102,3
622,17,1001362,22189,718,10139,650,285,3
623,22,3742456,19460,704,1927,789,4379,6
624,12,889947,970,240,138,702,8538,6
625,20,353475,983,41,36,1374,927,1
626,3,1149811,1352,572,155,292,512,3
627,1,360555,1113,50,17,1160,294,7
628,170,5967838,2975,1261,126,440,192,3
629,1,3071508,26548,423,2809,150,543,1
630,3,1931585,1368,453,161,948,5620,3
631,1,35148,0,0,4,535,149,3
632,48,670576,6009,422,1231,1549,287,5
633,2,158634,1093,29,95,1903,1027,3
634,1,1825123,720,282,75,1116,178,4
635,35,360501,700,42,38,789,411,3
636,1,194042,661,62,189,695,407,3
637,90,2343661,18499,1086,2898,2324,214,5
638,2,286,4,0,0,841,85,5
639,1,318993,7215,49,200,1052,372,2
640,1,6020,32,3,15,221,289,6
641,3,1335905,1410,174,50,1222,60,3
642,3,8704,46,2,1,2191,95,1
643,1,99961,374,26,15,955,1505,4
644,2,143984,121,30,12,1486,9052,3
645,1,269830,1819,80,112,819,663,4
646,7,2012135,11843,1971,4637,2084,364,2
647,1,69345,56,18,1,805,114,2
648,2,493805,890,123,139,1672,254,3
649,2279,2671,5,0,0,1033,248,6
650,1,6818,19,0,1,282,121,3
651,7,1711,4,0,0,346,16,4
652,2,203,0,0,0,1141,212,3
653,1,463,12,0,1,2289,243,3
654,14,110048,182,11,12,1795,1109,3
655,1,2299,1,1,0,1654,16,3
656,3,504577,3956,129,1483,239,36032,6
657,1,109506,108,12,25,330,391,6
658,1,149868,32,51,0,87,944,4
659,250,1618584,18302,366,3281,432,412,1
660,107,816,6,0,2,962,245,6
661,2,57421,88,8,14,1784,640,4
662,2,1974,28,1,4,1826,160,3
663,3,3839,60,0,2,1255,61,5
664,2,860,11,0,10,1448,273,3
665,2,9558,20,6,0,1383,952,3
666,3,474358,2781,525,1812,1592,97,3
667,1,132946,1042,23,139,1077,2959,6
668,2,1434301,8837,1011,895,2032,3174,6
669,1,6234,31,3,1,2265,320,7
670,3,111523,535,39,44,1687,104,3
671,18,945770,3040,194,142,342,497,3
672,1,818181,7827,203,1088,1399,558,5
673,12,612203,5152,458,1339,812,714,1
674,3,30900,358,9,8,388,323,6
675,18,438441,333,134,102,803,2388,3
676,28,6083650,18903,2956,1544,806,234,3
677,1,3603150,17626,1083,336,82,397,6
678,1,72836,202,10,3,128,144,2
679,1,17221,57,5,10,1534,4274,6
680,4,2520823,4855,3180,288,1451,3306,4
681,2,229101,250,80,24,1439,8660,4
682,1,2431,11,1,0,970,151,3
